,gcDate,House_Count,Total_Weight
0,2022-03-07,10.0,0.273
1,2022-03-08,10.0,0.273
2,2022-03-09,10.0,0.273
3,2022-03-10,10.0,0.273
4,2022-03-11,10.0,0.273
5,2022-03-12,10.0,0.273
6,2022-03-13,10.0,0.273
7,2022-03-14,10.0,0.273
8,2022-03-15,10.0,0.273
9,2022-03-16,9.0,0.273
10,2022-03-17,10.0,0.273
11,2022-03-18,9.0,0.273
12,2022-03-19,9.0,0.273
13,2022-03-20,10.0,0.273
14,2022-03-21,9.0,0.273
15,2022-03-22,10.0,0.273
16,2022-03-23,10.0,0.273
17,2022-03-24,10.0,0.273
18,2022-03-25,10.0,0.273
19,2022-03-26,10.0,0.273
20,2022-03-27,10.0,0.273
21,2022-03-28,10.0,0.273
22,2022-03-29,10.0,0.273
23,2022-03-30,10.0,0.273
24,2022-03-31,10.0,0.273
25,2022-04-01,10.0,0.273
26,2022-04-02,9.0,0.273
27,2022-04-03,10.0,0.273
28,2022-04-04,10.0,0.273
29,2022-04-05,10.0,0.273
30,2022-04-06,10.0,0.273
31,2022-04-07,10.0,0.273
32,2022-04-08,10.0,0.273
33,2022-04-09,10.0,0.273
34,2022-04-10,10.0,0.273
35,2022-04-11,10.0,0.273
36,2022-04-12,25.0,0.273
37,2022-04-13,57.0,0.273
38,2022-04-14,106.0,0.273
39,2022-04-15,172.0,0.273
40,2022-04-16,255.0,0.273
41,2022-04-17,338.0,0.273
42,2022-04-18,404.0,0.273
43,2022-04-19,453.0,0.273
44,2022-04-20,483.0,0.273
45,2022-04-21,497.0,0.283
46,2022-04-22,496.0,0.275
47,2022-04-23,497.0,0.259
48,2022-04-24,499.0,0.269
49,2022-04-25,500.0,0.269
50,2022-04-26,501.0,0.269
51,2022-04-27,502.0,0.269
52,2022-04-28,503.0,0.269
53,2022-04-29,503.0,0.269
54,2022-04-30,503.0,0.269
55,2022-05-01,504.0,0.269
56,2022-05-02,504.0,0.269
57,2022-05-03,503.0,0.269
58,2022-05-04,503.0,0.269
59,2022-05-05,502.0,0.269
60,2022-05-06,501.0,0.269
61,2022-05-07,500.0,0.269
62,2022-05-08,499.0,0.269
63,2022-05-09,498.0,0.269
64,2022-05-10,496.0,0.273
65,2022-05-11,494.0,0.273
66,2022-05-12,492.0,0.273
67,2022-05-13,490.0,0.273
68,2022-05-14,487.0,0.273
69,2022-05-15,485.0,0.273
70,2022-05-16,482.0,0.273
71,2022-05-17,479.0,0.273
72,2022-05-18,475.0,0.273
73,2022-05-19,472.0,0.273
74,2022-05-20,468.0,0.273
75,2022-05-21,464.0,0.273
76,2022-05-22,460.0,0.273
77,2022-05-23,456.0,0.273
78,2022-05-24,452.0,0.273
79,2022-05-25,447.0,0.273
80,2022-05-26,442.0,0.273
81,2022-05-27,437.0,0.273
82,2022-05-28,432.0,0.273
83,2022-05-29,426.0,0.273
84,2022-05-30,421.0,0.273
85,2022-05-31,415.0,0.273
86,2022-06-01,409.0,0.273
87,2022-06-02,403.0,0.273
88,2022-06-03,396.0,0.273
89,2022-06-04,390.0,0.273
90,2022-06-05,383.0,0.273
91,2022-06-06,376.0,0.273
92,2022-06-07,368.0,0.273
93,2022-06-08,361.0,0.273
94,2022-06-09,353.0,0.273
95,2022-06-10,346.0,0.273
96,2022-06-11,337.0,0.273
97,2022-06-12,329.0,0.273
98,2022-06-13,321.0,0.273
99,2022-06-14,312.0,0.273
100,2022-06-15,303.0,0.273
101,2022-06-16,294.0,0.273
102,2022-06-17,285.0,0.273
103,2022-06-18,276.0,0.273
104,2022-06-19,266.0,0.273
105,2022-06-20,256.0,0.273
106,2022-06-21,246.0,0.273
107,2022-06-22,236.0,0.273
108,2022-06-23,227.0,0.273
109,2022-06-24,217.0,0.273
110,2022-06-25,208.0,0.273
111,2022-06-26,199.0,0.273
112,2022-06-27,190.0,0.273
113,2022-06-28,182.0,0.273
114,2022-06-29,173.0,0.273
115,2022-06-30,165.0,0.273
116,2022-07-01,157.0,0.273
117,2022-07-02,149.0,0.273
118,2022-07-03,141.0,0.273
119,2022-07-04,134.0,0.273
120,2022-07-05,127.0,0.273
121,2022-07-06,120.0,0.273
122,2022-07-07,113.0,0.273
123,2022-07-08,106.0,0.273
124,2022-07-09,100.0,0.273
125,2022-07-10,93.0,0.273
126,2022-07-11,87.0,0.273
127,2022-07-12,81.0,0.273
128,2022-07-13,76.0,0.273
129,2022-07-14,70.0,0.273
130,2022-07-15,65.0,0.273
131,2022-07-16,60.0,0.273
132,2022-07-17,55.0,0.273
133,2022-07-18,50.0,0.273
134,2022-07-19,46.0,0.273
135,2022-07-20,42.0,0.273
136,2022-07-21,38.0,0.273
137,2022-07-22,34.0,0.273
138,2022-07-23,30.0,0.273
139,2022-07-24,27.0,0.273
140,2022-07-25,23.0,0.273
141,2022-07-26,20.0,0.273
142,2022-07-27,17.0,0.273
143,2022-07-28,15.0,0.273
144,2022-07-29,12.0,0.273
145,2022-07-30,10.0,0.273
146,2022-07-31,8.0,0.273
147,2022-08-01,6.0,0.273
148,2022-08-02,4.0,0.273
149,2022-08-03,3.0,0.273
150,2022-08-04,1.0,0.273
151,2022-08-05,0.0,0.273
152,2022-08-06,-1.0,0.273
153,2022-08-07,-1.0,0.273
154,2022-08-08,-2.0,0.273
155,2022-08-09,-2.0,0.273
156,2022-08-10,-2.0,0.273
157,2022-08-11,-2.0,0.273
158,2022-08-12,-2.0,0.273
159,2022-08-13,-1.0,0.273
160,2022-08-14,-1.0,0.273
161,2022-08-15,0.0,0.273
162,2022-08-16,1.0,0.273
163,2022-08-17,3.0,0.273
164,2022-08-18,4.0,0.273
165,2022-08-19,6.0,0.273
166,2022-08-20,8.0,0.273
167,2022-08-21,7.0,0.273
168,2022-08-22,1.0,0.273
169,2022-08-23,-10.0,0.273
170,2022-08-24,-27.0,0.273
171,2022-08-25,-48.0,0.273
172,2022-08-26,-75.0,0.273
173,2022-08-27,-107.0,0.273
174,2022-08-28,-145.0,0.273
175,2022-08-29,-187.0,0.273
176,2022-08-30,-235.0,0.273
177,2022-08-31,-288.0,0.273
178,2022-09-01,-347.0,0.273
179,2022-09-02,-410.0,0.273
180,2022-09-03,-479.0,0.273
181,2022-09-04,-553.0,0.273
182,2022-09-05,-633.0,0.273
183,2022-09-06,-717.0,0.273
184,2022-09-07,-807.0,0.273
185,2022-09-08,-887.0,0.273
186,2022-09-09,-941.0,0.273
187,2022-09-10,-970.0,0.273
188,2022-09-11,-974.0,0.273
189,2022-09-12,-952.0,0.273
190,2022-09-13,-905.0,0.273
191,2022-09-14,-832.0,0.273
192,2022-09-15,-733.0,0.273
193,2022-09-16,-610.0,0.273
194,2022-09-17,-461.0,0.273
195,2022-09-18,-286.0,0.273
196,2022-09-19,-86.0,0.273
197,2022-09-20,139.0,0.273
198,2022-09-21,390.0,0.273
199,2022-09-22,666.0,0.269
200,2022-09-23,968.0,1.663
201,2022-09-24,1295.0,1.923
202,2022-09-25,1648.0,2.404
203,2022-09-26,2026.0,2.324
204,2022-09-27,2318.0,3.013
205,2022-09-28,2413.0,0.966
206,2022-09-29,2312.0,3.013
207,2022-09-30,2165.0,1.699
208,2022-10-01,2414.0,0.966
209,2022-10-02,414.0,0.273
210,2022-10-03,2.0,0.273
211,2022-10-04,4161.0,4.012
212,2022-10-05,4962.0,4.012
213,2022-10-06,3541.0,4.012
214,2022-10-07,2392.0,0.635
215,2022-10-08,1803.0,2.2
216,2022-10-09,2161.0,1.699
217,2022-10-10,2134.0,0.81
218,2022-10-11,1011.0,1.525
219,2022-10-12,1791.0,1.611
220,2022-10-13,1.0,0.273
221,2022-10-14,1341.0,2.099
222,2022-10-15,1675.0,2.591
223,2022-10-16,1830.0,1.836
224,2022-10-17,2044.0,3.15
225,2022-10-18,2349.0,4.73
226,2022-10-19,3302.0,5.46
